"TB","Status","CompileExit","RunExit"
"Microprocessor_rtype_single_inst_tb","PASS","0","0"
"Microprocessor_itype_single_inst_tb","PASS","0","0"
"Microprocessor_load_single_inst_tb","PASS","0","0"
"Microprocessor_stype_single_inst_tb","PASS","0","0"
"Microprocessor_btype_single_inst_tb","PASS","0","0"
"Microprocessor_utype_single_inst_tb","PASS","0","0"
"Microprocessor_jtype_single_inst_tb","PASS","0","0"
"Microprocessor_jalr_single_inst_tb","PASS","0","0"
"Microprocessor_rv32i_all37_tb","PASS","0","0"
"Microprocessor_rv32i_all37_single_run_tb","TEST_FAIL","0","0"
